Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
85,Encounters At The End Of The World,0.94,0.8,7.8,0,0,0,18100,1.0,33476,0,8800,1.0,36983,0,16900,4.571428571,64600,0,19900,11.71428571,89391,0,39000,23.28571429,105741,0,47100,31.85714286,92114,0,18200,28.71428571,75275,0,25800,25.42857143,57763,0,27700,24.42857143,39742,0,3900,24.5,6605,ThinkFilm,Documentary,1 hrs. 39 min.,G,
86,Enron: The Smartest Guys In The Room,0.97,0.82,7.7,0,41900,75300,155000,3.0,109375,21300,236300,41.85714286,494915,0,266400,58.71428571,402740,0,115900,64.14285714,322261,0,96500,84.14285714,299647,0,73000,85.71428571,386926,0,25000,72.57142857,206479,0,19000,62.71428571,182201,0,8700,48.71428571,119971,0,5300,34.0,95160,Magnolia,Documentary,1 hrs. 50 min.,Unrated,
87,Every Little Step,0.9,0.84,7.2,0,63200,0,58100,8.0,103819,0,76200,8.0,71774,0,49900,12.0,79151,0,69600,23.0,114537,0,87800,43.57142857,145645,0,52500,53.85714286,254653,0,26000,52.71428571,167357,0,15400,46.0,126656,0,9900,60.28571429,139861,0,4300,43.14285714,86705,Sony Classics,Documentary,1 hrs. 36 min.,PG-13,
88,Everything Is Illuminated,0.67,0.87,7.6,0,172700,0,305600,6.0,92988,0,388300,28.0,178914,0,135500,51.57142857,221575,0,58900,64.28571429,236867,0,56600,70.71428571,192860,0,156000,65.71428571,153737,0,55000,59.0,90703,0,27800,44.42857143,67656,0,11900,26.14285714,38105,0,1600,11.14285714,12136,Warner Independent,Drama,1 hrs. 40 min.,PG-13,7000000.0
89,Exit Through The Gift Shop,0.96,0.91,8.1,0,17000,0,52400,7.0,236252,0,53200,10.0,218842,0,101200,19.0,269546,0,127600,27.0,247588,0,96800,39.0,282047,0,54100,38.42857143,243255,0,121800,44.85714286,269424,0,42200,40.57142857,179358,0,13300,41.57142857,146816,0,19300,40.71428571,127856,Producers Distribution Agency,Documentary,1 hrs. 27 min.,R,
90,Factory Girl,0.19,0.59,6.1,0,45000,108500,191800,3.0,126215,513800,298300,15.0,228511,40300,751600,308.14285710000007,748651,1400,380400,251.1428571,294586,0,48400,37.0,71147,0,8600,12.85714286,30358,0,6800,6.714285714,13773,0,3200,2.857142857,9612,0,2500,2.857142857,6427,0,2700,1.0,3604,MGM (Weinstein),Drama,1 hrs. 27 min.,R,7000000.0
91,Factotum,0.75,0.51,6.5,0,9800,0,108400,6.0,91023,0,104900,29.0,164735,0,91000,43.85714286,217271,0,19300,48.28571429,106156,0,9200,44.71428571,67833,0,2700,30.28571429,42047,0,2000,26.14285714,22538,0,8600,20.42857143,12249,0,1200,13.57142857,8302,0,0,4.0,2421,IFC,Drama,1 hrs. 34 min.,R,1000000.0
92,Fair Game,0.8,0.64,6.9,1500,287400,0,367700,40.14285714,746257,0,453300,151.1428571,1181748,0,675400,321.2857143,1770544,0,504900,326.0,1624982,0,326700,366.85714289999993,1084502,0,89300,351.85714289999993,630228,0,18900,175.8571429,252749,0,15900,67.71428571,99091,0,0,65.71428571,86164,0,0,52.57142857,57072,Summit Entertainment,Action Thriller,1 hrs. 48 min.,PG-13,22000000.0
93,Fanboys,0.31,0.57,6.7,0,7000,0,321200,44.0,221496,0,37200,40.42857143,111350,0,36200,32.71428571,87680,0,31600,45.14285714,90906,0,21900,43.57142857,50006,0,5500,28.14285714,34797,0,1000,24.14285714,18680,0,0,25.28571429,16546,0,0,13.28571429,7063,0,0,20.71428571,9834,Weinstein Company,Comedy,1 hrs. 30 min.,PG-13,3900000.0
94,Fantastic Mr. Fox,0.93,0.8,7.8,806200,165500,2720500,576400,4.0,358565,2619200,2057800,520.1428571,2540996,849800,1685400,1765.857143,7259021,0,502300,1709.142857,3202518,0,312600,1050.4285710000001,1655299,0,204100,404.85714289999993,979280,0,58700,150.4285714,592036,200,18200,212.28571430000002,487566,0,44700,198.8571429,284289,0,38800,142.71428569999998,250014,Fox,Animation,1 hrs. 27 min.,PG,40000000.0
95,Finding Neverland,0.83,0.84,7.9,1129300,195300,1782000,628800,8.428571429,325696,1861500,2330500,153.4285714,2420938,372200,1024000,400.0,4837379,128500,914000,414.0,2977966,444600,672800,420.7142857,1989915,185500,967100,798.8571429,3092388,660100,1218400,718.5714286,3386015,289700,848700,802.1428571,3050085,238000,834000,807.4285714,2519129,4000,337700,669.1428571,2172917,Miramax,Period Drama,1 hrs. 41 min.,PG,25000000.0
96,Flawless,0.56,0.55,6.7,0,42300,0,308800,29.0,205463,0,105900,37.0,160226,0,39200,49.85714286,147224,0,36300,42.85714286,71957,0,31300,43.42857143,78399,0,8300,40.0,50852,0,0,27.85714286,45412,0,5600,25.57142857,42073,0,0,23.85714286,35221,0,0,16.71428571,27452,Magnolia,Crime Thriller,1 hrs. 40 min.,PG-13,20000000.0
97,Flipped,0.54,0.77,7.5,205800,52800,5400,197500,45.57142857,329433,0,49800,43.0,190338,0,21100,27.28571429,79740,0,320700,23.57142857,94980,0,174800,26.0,78341,1100,0,405.0,572088,1600,0,298.2857143,205705,0,0,74.85714286,84579,0,0,23.14285714,19188,0,0,14.57142857,9150,Warner Bros.,Comedy,1 hrs. 30 min.,PG,14000000.0
98,"Food, Inc.",0.96,0.8,7.8,0,37300,0,112200,3.0,97726,0,227300,42.71428571,379579,0,106500,61.57142857,407849,0,131900,66.0,352287,0,53500,64.71428571,351709,0,42000,87.85714286,372580,0,37300,99.71428571,342472,0,29100,113.0,370233,0,7100,89.28571429,208585,0,3100,66.28571429,108779,Magnolia,Documentary,1 hrs. 34 min.,PG,1000000.0
99,For Your Consideration,0.5,0.43,6.2,1641400,176700,2141800,870300,167.8571429,998840,166800,657200,536.1428571,2098944,13800,196100,505.7142857,957930,500,109100,228.1428571,392536,0,70900,122.7142857,224713,200,45700,44.14285714,106740,100,7900,35.14285714,66826,0,0,26.42857143,30108,0,0,17.42857143,16948,100,0,9.714285713999999,7247,Warner Independent,Comedy,1 hrs. 26 min.,PG-13,12000000.0
100,Friends with Kids,0.68,0.58,0.0,1222000,46300,394300,475100,359.14285710000007,3099599,182300,372500,607.2857142999999,2546221,0,99300,1348.285714,4587706,0,22600,1088.0,2846625,0,6500,662.2857142999999,1469946,0,0,367.57142860000005,975691,0,0,235.71428569999998,499991,0,0,174.4285714,541599,0,0,152.4285714,261313,0,0,84.85714286,125789,Roadside Attractions,Comedy,1 hrs. 40 min.,R,10000000.0
101,Frozen River,0.87,0.71,7.2,0,61000,0,75300,7.0,112492,0,60700,7.0,82619,0,77400,15.0,89655,0,155800,33.0,181187,0,162200,56.14285714,336583,0,154500,79.71428571,337498,0,69900,76.0,196006,0,38700,82.0,163146,0,26000,60.42857143,95237,0,16000,36.71428571,57808,Sony Classics,Drama,1 hrs. 37 min.,R,1000000.0
102,Fugitive Pieces,0.68,0.62,6.8,0,19400,0,67900,8.857142857000001,32852,0,20100,14.85714286,40016,0,5100,13.85714286,29113,0,0,8.0,21492,0,0,2.857142857,6950,0,0,4.0,10214,0,1400,8.285714286000001,17461,0,0,9.0,18056,0,0,8.0,15613,0,0,7.857142857,16691,Samuel Goldwyn,War Drama,1 hrs. 45 min.,R,11672500.0
103,G,0.24,0.64,4.4,0,0,0,0,37.71428571,250878,0,0,37.85714286,156319,0,0,30.71428571,90907,0,0,18.28571429,36802,0,0,7.714285714,12914,0,0,5.1428571430000005,12960,0,0,456.2857143,1415469,0,0,374.42857139999995,623487,0,0,145.1428571,161774,0,0,22.0,30652,Aloha Releasing,Drama,1 hrs. 39 min.,R,
104,Garden State,0.86,0.87,7.8,347800,24600,368300,357600,8.0,347315,263500,425700,24.71428571,688937,1069400,828200,119.7142857,1794360,1197500,909700,450.14285710000007,3724488,625300,900200,616.8571429,3588140,780000,913200,664.5714286,3941240,173000,750900,677.4285714,2370313,0,623200,623.1428571,1893561,0,542500,544.7142857000001,1278738,0,321000,472.0,151324,Fox Searchlight,Comedy / Drama,1 hrs. 49 min.,R,2500000.0
105,George A. Romero's Diary Of The Dead,0.62,0.42,5.8,0,0,0,110400,39.0,298369,0,37100,44.85714286,156804,0,18400,45.0,116861,0,16000,46.71428571,82437,0,5100,43.57142857,61683,0,2700,41.42857143,52389,0,1200,39.42857143,39107,0,700,40.71428571,33992,0,0,29.14285714,26369,0,0,10.28571429,5208,Third Rail Releasing,Horror,1 hrs. 35 min.,R,2000000.0
106,Get Low,0.86,0.73,7.1,0,0,0,0,4.0,131210,0,0,22.14285714,257340,0,0,47.28571429,482933,0,0,129.8571429,910302,0,0,514.1428571,1950992,0,0,486.57142860000005,1609748,0,0,443.57142860000005,1016156,0,0,379.7142857,638879,0,0,288.85714289999993,365158,0,0,209.1428571,206793,Sony Classics,Comedy,1 hrs. 40 min.,PG-13,7500000.0
107,Gonzo: The Life And Work Of Dr. Hunter S. Thompson,0.86,0.81,7.7,0,142300,0,239300,24.0,293751,0,110500,39.0,232035,0,70700,47.0,157271,0,16100,42.14285714,93257,0,3800,31.0,56976,0,2100,26.42857143,46887,0,0,22.71428571,28599,0,0,13.14285714,14703,0,1400,6.285714286,7467,0,0,11.0,14223,Magnolia,Documentary,1 hrs. 58 min.,R,
108,"Good Night, And Good Luck",0.93,0.73,7.6,277900,229800,1370600,878300,11.14285714,610867,2368200,1172500,67.14285714,1649377,1505600,1608900,202.71428569999998,2728094,1606900,1490100,243.28571430000002,2413767,359900,1690000,559.7142857000001,3611838,698900,1049800,567.2857142999999,2806883,925600,1645600,600.5714286,2121898,310100,1385900,475.7142857,1896433,57800,1021400,472.85714289999993,1069685,1700,798300,376.85714289999993,632684,Warner Independent,Period Drama,1 hrs. 30 min.,PG,7500000.0
109,Goodbye Solo,0.95,0.81,7.4,0,3000,0,17500,3.0,50473,0,11700,5.1428571430000005,43939,0,14600,10.0,84207,0,8600,11.0,55259,0,3100,12.0,37030,0,3900,11.0,33729,0,3800,15.85714286,52297,0,4400,22.42857143,61242,0,2200,20.85714286,71700,0,0,22.28571429,54358,Roadside Attractions,Drama,1 hrs. 31 min.,R,
110,Goya's Ghosts,0.3,0.58,6.9,0,120100,0,471400,43.0,216985,0,243100,37.0,151093,0,229900,34.71428571,98848,0,57400,27.0,78095,0,23700,18.0,43651,0,40300,22.85714286,52907,0,9100,27.0,52559,0,19100,23.57142857,26971,0,1600,16.71428571,18326,0,0,4.0,2949,Samuel Goldwyn,Historical Drama,1 hrs. 54 min.,R,50000000.0
111,Gran Torino,0.8,0.9,8.3,761900,337700,2628300,1030600,6.571428571,393388,6425000,1843200,26.57142857,1445413,6214600,2102900,78.0,4700632,8840900,1368900,2019.857143,108044016,1621100,1850600,765.5714286,9287638,996500,1452000,133.8571429,836247,128100,784300,8.8,32488,0,638900,0.0,0,0,291700,0.0,0,0,166700,1.0,38,Warner Bros.,Action Drama,1 hrs. 56 min.,R,33000000.0
112,Greenberg,0.75,0.4,6.3,173100,89900,525900,480400,3.571428571,179296,31400,809200,164.4285714,1264383,0,501200,169.71428569999998,869062,0,234800,154.0,504783,0,95200,137.28571430000002,354714,0,36400,122.42857140000001,241860,0,13400,106.1428571,156314,0,3200,88.57142857,102693,0,1700,55.0,50368,0,0,26.85714286,31251,Focus Features,Comedy / Drama,1 hrs. 47 min.,R,
113,Grizzly Man,0.93,0.82,7.8,0,70200,0,259300,28.28571429,396973,0,249800,45.0,425295,0,152700,70.0,437061,0,110300,75.0,361907,0,108900,72.0,246761,0,34600,62.0,178135,0,21700,55.71428571,129445,0,3300,47.0,92988,0,2700,35.0,77236,0,4300,34.85714286,60715,Lions Gate,Documentary,1 hrs. 43 min.,R,
114,Half Nelson,0.9,0.82,7.4,0,21200,0,35200,2.0,181964,0,77800,3.0,176456,0,101600,14.85714286,435826,0,139800,24.71428571,489646,0,185000,44.28571429,466678,0,196200,64.28571429,556000,0,172400,78.28571429,572882,0,159400,72.14285714,438014,0,53000,67.71428571,214888,0,3400,50.57142857,121118,ThinkFilm,Drama,1 hrs. 47 min.,R,700000.0
115,Happy-Go-Lucky,0.93,0.65,7.0,0,63300,0,171900,4.0,109441,0,273200,8.0,131637,0,230400,16.14285714,186242,0,477300,47.0,286023,0,224700,80.71428571,429948,0,291200,111.2857143,392062,0,83900,157.28571430000002,380568,0,23700,153.5714286,288006,0,10100,143.4285714,152564,0,4200,99.42857143,89138,Miramax,Comedy / Drama,1 hrs. 58 min.,R,
116,Hard Candy,0.68,0.76,7.2,121200,59200,5000,151000,2.0,81300,31100,119800,2.0,54360,1200,431100,99.57142857,333440,0,50200,81.28571429,157209,0,0,37.14285714,58300,0,0,20.85714286,21017,0,0,19.28571429,28739,0,0,12.85714286,12922,0,0,10.0,10261,0,0,5.857142857,3537,Lionsgate,Drama,1 hrs. 39 min.,R,950000.0
117,Harry Brown,0.64,0.75,7.3,66700,27000,2500,273900,19.0,241319,0,103500,36.85714286,192869,0,113700,53.28571429,192191,0,43300,49.28571429,168194,0,27400,44.0,165815,0,14200,36.42857143,88095,0,20900,48.71428571,117228,0,13900,42.42857143,77673,0,3300,32.14285714,56288,0,1500,26.0,61171,Samuel Goldwyn,Crime Thriller,1 hrs. 43 min.,R,7300000.0
118,Heights,0.64,0.71,6.9,0,69900,0,180700,7.0,79376,0,159600,19.71428571,129904,0,148000,35.0,176867,0,88500,47.14285714,201012,0,54000,49.71428571,126053,0,25900,52.14285714,101136,0,12700,28.57142857,47976,0,5900,17.42857143,29608,0,5300,18.42857143,24822,0,2100,9.714285713999999,10260,Sony Classics,Drama,1 hrs. 33 min.,R,
119,Higher Ground,0.81,0.66,6.0,0,28800,0,27300,3.0,43581,0,73100,17.14285714,145868,0,83600,50.85714286,157588,0,41600,73.42857143,143588,0,21900,55.28571429,92675,0,7600,44.0,58571,0,1100,26.28571429,27329,0,600,39.0,34974,0,0,21.42857143,19212,0,0,16.14285714,10414,Sony Classics,Drama,1 hrs. 49 min.,R,2000000.0
120,Hobo With A Shotgun,0.67,0.59,6.3,0,14500,0,34400,2.0,19420,0,8100,2.285714286,11858,0,19900,7.714285714,32479,0,21800,14.57142857,31077,0,2700,7.714285714,9092,0,4800,8.428571429,12488,0,3400,8.571428571,10003,0,0,4.428571429,9485,0,1700,3.142857143,5405,0,0,2.285714286,3106,Magnolia,Action,1 hrs. 26 min.,Unrated,3000000.0
121,Howl,0.62,0.6,6.7,0,7200,0,25000,5.0,67314,0,12800,15.71428571,75515,0,11400,14.85714286,59558,0,3600,15.71428571,45632,0,10400,24.14285714,50439,0,10500,27.0,51385,0,2200,23.0,36185,0,0,15.14285714,19460,0,1400,5.1428571430000005,8788,0,0,5.571428571,9122,Oscilloscope Pictures,Drama,1 hrs. 30 min.,R,
122,I'm Not There,0.77,0.69,0.0,0,185300,0,664600,112.42857140000001,950501,6900,625000,117.8571429,581979,398600,475200,125.0,414106,0,327700,123.8571429,282638,0,321300,98.42857143,170989,0,75600,75.28571429,175751,0,42300,60.14285714,120786,0,107000,41.71428571,73746,0,37500,40.14285714,59110,0,55400,40.0,12821,Weinstein Company,Music Drama,2 hrs. 15 min.,R,20000000.0
123,I Am,0.37,0.81,6.8,0,3000,0,11800,1.0,13453,0,23500,2.0,24939,0,25500,4.1428571430000005,27138,0,37400,5.0,42905,0,48400,11.0,55348,0,35700,11.28571429,53954,0,18400,11.0,41259,0,10600,15.0,48169,0,11800,11.0,37669,0,31000,20.71428571,153745,Paladin,Documentary,1 hrs. 27 min.,Unrated,
124,I Heart Huckabees,0.62,0.75,6.7,651300,228900,1091100,779200,4.428571429,411468,1693100,838700,40.85714286,1194261,2275200,419200,60.14285714,1116865,481000,707600,678.1428571,3264337,100,630300,757.1428571,1967304,0,97900,423.0,1216685,0,82800,197.8571429,550233,0,89900,101.8571429,350257,0,21400,73.57142857,215382,0,8200,78.14285714,131957,Fox Searchlight,Comedy,1 hrs. 46 min.,R,22000000.0
125,I Love You Phillip Morris,0.71,0.57,6.7,290200,59900,571100,196300,6.142857143,151123,574000,284600,34.85714286,223388,421200,162300,43.42857143,228421,20700,87200,59.85714286,310394,0,15100,62.71428571,274981,0,23500,89.57142857,283666,0,10300,79.0,173368,0,4500,57.0,98689,0,1200,32.71428571,48958,0,0,27.57142857,23244,Roadside Attractions,Comedy,1 hrs. 40 min.,R,13000000.0
126,Imagine Me & You,0.32,0.67,6.7,3800,59100,6700,206700,8.142857142999999,72285,9400,336100,46.85714286,134311,0,185300,85.42857143,146210,0,45600,73.28571429,104818,0,8900,55.28571429,54074,0,1300,23.57142857,15306,0,1200,2.857142857,1142,0,0,1.857142857,2023,0,0,1.857142857,427,0,0,1.857142857,1150,Fox Searchlight,Romantic Comedy,1 hrs. 33 min.,R,
127,In Bruges,0.82,0.85,8.0,434700,156700,420400,543800,21.0,485768,141800,840900,92.0,1194283,0,682700,134.0,812734,43200,427000,188.0,855079,0,142800,179.4285714,585122,0,104600,167.4285714,551369,0,73800,167.5714286,524300,0,24200,160.5714286,361974,0,14500,139.71428569999998,243024,0,0,114.42857140000001,168495,Focus Features,Crime Comedy,1 hrs. 47 min.,R,15000000.0
128,In the Loop,0.94,0.77,7.5,0,12400,0,47400,8.0,280603,0,84900,30.0,377115,0,99700,48.14285714,296448,0,62500,67.0,288832,0,10900,70.85714286,229274,0,4900,64.28571429,166150,0,6000,69.0,178063,0,0,54.28571429,104049,0,1200,46.28571429,60043,0,0,36.85714286,48111,IFC,Comedy,1 hrs. 46 min.,Unrated,812521.0
129,In The Valley Of Elah,0.72,0.76,7.4,915600,296700,1985500,914900,9.0,182165,2506300,1491700,283.14285710000007,1563818,1248700,1131600,695.4285714,1885587,37000,699700,859.7142857000001,1672403,0,358000,576.4285714,497848,0,27200,86.57142857,91756,0,5400,45.0,46885,0,0,28.42857143,26258,0,0,16.85714286,15497,0,0,6.142857143,4452,Warner Independent,War Drama,2 hrs. 1 min.,R,23000000.0
130,Inside Job,0.98,0.9,8.2,2000,57100,0,54000,2.142857143,62836,0,88400,10.0,122969,0,98400,23.0,223779,0,98900,30.0,221267,0,108700,59.85714286,334460,0,163100,214.28571430000002,563013,0,89900,136.1428571,397937,0,62400,98.28571429,338551,0,56000,95.71428571,223258,0,18100,81.42857143,144314,Sony Classics,Documentary,2 hrs. 0 min.,PG-13,2000000.0
131,Into The Wild,0.82,0.9,8.2,221500,167700,144300,445100,4.0,298563,459700,777600,31.0,812665,277400,900500,119.0,1597753,664400,902700,124.7142857,1100097,117500,1225100,561.4285714,2535995,0,740600,560.1428571,1885805,0,382300,525.2857143,1466384,0,327700,457.0,1256076,0,390500,350.0,975986,0,243000,246.71428569999998,692921,Paramount Vantage,Adventure,2 hrs. 20 min.,R,15000000.0
132,Is Anybody There,0.65,0.52,6.7,20000,75700,22500,316700,6.0,62221,9000,429900,47.14285714,144022,0,455700,111.42857140000001,359573,0,351800,137.0,335300,0,213600,134.71428569999998,246262,0,121700,105.57142859999999,251735,0,67100,86.28571429,135021,0,32200,62.14285714,73080,0,6300,43.14285714,34321,0,2100,27.42857143,20682,Story Island Entertainment,Drama,1 hrs. 34 min.,PG-13,
133,It Might Get Loud,0.8,0.82,7.5,0,42400,0,64600,7.0,146188,0,53700,7.0,84446,0,109500,27.0,172833,0,91900,51.71428571,238763,0,64200,55.14285714,170734,0,16200,55.71428571,137796,0,12000,57.28571429,147313,0,2900,59.14285714,88172,0,6000,54.14285714,72695,0,1100,46.28571429,44460,Sony Classics,Documentary,1 hrs. 37 min.,PG,
134,Jack Goes Boating,0.67,0.48,6.3,73300,60000,132400,289200,4.0,41647,1600,216200,34.0,109723,0,180300,68.42857143,120642,0,22500,77.57142857,77613,0,0,39.42857143,34410,0,0,22.57142857,14164,0,0,23.57142857,12980,0,0,12.28571429,8874,0,0,3.857142857,2581,0,0,1.8333333330000001,567,Overture Films,Comedy,1 hrs. 29 min.,R,
135,Jane Eyre,0.85,0.76,7.5,0,206100,46600,349100,4.0,253107,224300,507000,25.0,620580,333000,616200,75.85714286,1173494,340900,794500,150.8571429,1462858,207300,562900,208.4285714,1367012,75600,376100,221.71428569999998,1232155,100,285500,250.28571430000002,859840,0,81200,230.4285714,616606,0,13900,189.71428569999998,488820,0,17000,179.71428569999998,388817,Focus Features,Romance,2 hrs. 1 min.,PG-13,
136,Jesus Camp,0.87,0.76,7.5,19600,19500,15100,52400,10.71428571,19266,6400,86900,11.42857143,50739,0,179400,17.0,121782,0,315600,38.85714286,158523,0,151000,43.57142857,128371,0,38200,39.0,77269,0,8200,20.71428571,32722,0,6900,26.14285714,38383,0,1800,22.71428571,24683,0,500,8.571428571,8039,Magnolia,Documentary,1 hrs. 25 min.,PG-13,
137,Joan Rivers - A Piece of Work,0.91,0.77,7.2,0,10200,0,64600,7.0,246583,0,106000,25.0,328017,0,122400,74.57142857,507595,0,118400,93.0,529995,0,72200,95.0,349318,1100,18600,93.0,241751,13600,0,76.0,158931,9000,7100,58.42857143,101315,1400,2800,55.85714286,75899,10700,2100,27.71428571,38488,IFC,Documentary,1 hrs. 24 min.,R,
138,Journey From The Fall,0.92,0.81,7.1,0,0,0,4000,4.0,118594,0,0,6.0,123041,0,0,10.0,86918,0,0,13.0,51741,0,0,11.0,58490,0,0,11.85714286,60872,0,0,11.0,34179,0,0,9.0,14079,0,0,10.0,22633,0,0,7.428571429,8039,ImaginAsian Pictures,Historical Drama,2 hrs. 17 min.,R,1592000.0
139,Junebug,0.86,0.71,7.0,0,26900,0,103600,7.0,120497,0,106200,17.0,166114,0,116100,26.0,167987,0,133700,42.57142857,299848,0,105100,71.85714286,323024,0,90500,88.28571429,261669,0,60400,108.1428571,280015,0,23900,100.1428571,212347,0,25200,77.0,136143,0,10900,71.5,19752,Sony Classics,Comedy / Drama,1 hrs. 46 min.,R,1000000.0
140,Juno,0.94,0.89,7.8,153100,169100,347200,295800,6.0,577440,644300,765000,29.57142857,1867862,1037300,1704100,304.2857143,6752203,1094400,1727100,918.0,19525644,1258300,1394400,1469.714286,20099818,522100,1120100,1974.142857,15581999,55500,1015600,2127.571429,12743337,1536500,1088700,2056.571429,11129303,671300,1276300,2014.714286,7568188,48500,1175100,2003.0,808780,Fox Searchlight,Comedy / Drama,1 hrs. 31 min.,PG-13,7500000.0
141,Keeping Mum,0.56,0.73,6.8,0,10600,0,26500,2.0,36597,0,40500,2.0,27038,0,97600,36.57142857,193083,0,41600,59.28571429,200537,0,34200,54.28571429,154315,0,39700,48.71428571,113531,0,21900,46.14285714,82983,0,11100,46.28571429,70491,0,2400,28.42857143,36363,0,3400,12.14285714,10567,ThinkFilm,Comedy,1 hrs. 30 min.,R,
142,Kill The Irishman,0.62,0.68,7.1,26300,21900,19200,53200,5.0,192000,24400,86900,19.14285714,187194,7900,54100,39.28571429,205380,8800,42000,50.57142857,149675,0,63100,49.28571429,120690,0,39800,36.0,90431,0,14400,21.0,52071,0,13900,26.85714286,55233,0,3000,22.85714286,37471,0,0,12.57142857,21056,Anchor Bay Films,Action / Crime,1 hrs. 46 min.,R,
143,Kinky Boots,0.57,0.63,6.9,359600,388000,278400,387400,9.0,102295,174800,266500,23.0,126406,2700,265100,30.71428571,129898,0,206400,48.0,148646,0,106800,62.28571429,167153,0,69300,68.57142857,123409,0,43600,80.14285714,182743,0,12900,66.0,113388,0,4500,53.28571429,64778,0,2800,22.0,24021,Miramax,Comedy / Drama,1 hrs. 47 min.,PG-13,
144,Kinsey,0.9,0.72,7.2,36600,251800,300500,554900,5.0,249262,455200,1354100,72.42857143,941874,124200,923100,167.8571429,1455346,246700,1058800,164.8571429,849882,91600,882700,146.8571429,637620,0,596500,151.28571430000002,622198,0,1048300,162.8571429,574707,162000,847700,155.4285714,537930,17600,1089300,453.42857139999995,894975,0,333100,237.5714286,447793,Fox Searchlight,Period Drama,2 hrs. 4 min.,R,11000000.0
145,"Kiss Kiss, Bang Bang",0.83,0.83,7.8,475100,114500,509400,262600,7.285714286,226231,507800,462300,46.14285714,444024,0,406900,74.0,516536,0,542900,151.4285714,899923,0,563000,176.71428569999998,611954,0,211500,131.0,346706,0,0,118.57142859999999,267497,0,0,113.0,137971,0,0,47.42857143,50721,600,0,8.857142857000001,12919,Warner Bros.,Action Comedy,1 hrs. 42 min.,R,15000000.0
146,Ladies in Lavender,0.63,0.64,7.0,0,14500,0,95600,18.0,190512,0,58600,21.0,157603,0,131200,45.57142857,289411,0,79800,46.71428571,271730,0,122300,62.42857143,496475,0,74800,65.57142857,307231,0,48300,57.42857143,264332,0,40000,55.42857143,227263,0,39000,60.85714286,250361,0,29900,62.5,266536,IDP,Period Drama,1 hrs. 43 min.,PG-13,
147,Lars And The Real Girl,0.81,0.83,7.5,328700,150500,909800,420700,7.0,127881,2215000,554700,21.0,276415,336800,1086200,279.85714289999993,1148292,7600,416100,288.2857143,931073,900,508900,246.71428569999998,819606,200,302400,176.1428571,597637,0,127500,123.0,395171,0,77900,118.57142859999999,258019,0,133100,117.2857143,191997,0,79200,77.28571429,128071,MGM,Comedy,1 hrs. 46 min.,PG-13,12000000.0
148,Layer Cake,0.81,0.83,7.4,7400,193600,12900,238200,10.14285714,117023,12700,323700,28.0,189105,1900,321500,79.14285714,485905,0,181900,153.5714286,416756,0,119800,126.57142859999999,268931,0,85300,105.8571429,180939,0,32400,63.42857143,103931,0,23300,84.42857143,107959,0,5000,37.0,58518,0,3000,19.14285714,18080,Sony Classics,Crime,1 hrs. 44 min.,R,5304960.0
149,Leonard Cohen I'm Your Man,0.7,0.39,6.8,0,0,0,50900,1.0,32075,0,16400,2.4285714290000002,48566,0,8600,3.714285714,38476,0,66200,19.71428571,126232,0,33900,29.0,123845,0,11800,27.0,89272,0,12000,26.28571429,59238,0,5900,19.28571429,36392,0,4000,19.71428571,29824,0,0,21.0,5799,Lionsgate,Documentary,1 hrs. 44 min.,PG-13,
150,Little Children,0.8,0.79,7.8,8800,130100,4700,305800,5.0,145950,97700,318500,5.0,124461,12400,700100,31.0,313200,0,469200,30.71428571,264411,0,315100,29.57142857,221818,0,275900,28.0,176917,0,292100,31.28571429,198900,0,185200,26.0,158865,0,173600,25.0,123715,0,141800,22.0,88283,New Line,Drama,2 hrs. 10 min.,R,14000000.0
151,Little Miss Sunshine,0.91,0.9,8.0,132900,109900,243300,311300,7.0,618022,582200,580100,37.0,1829010,924500,758100,109.42857140000001,3345982,2012400,771700,459.14285710000007,6827591,1638000,836900,1043.5714289999999,9100884,831200,775200,1318.5714289999999,10024930,0,638400,1326.0,5048598,0,501400,1229.0,3933718,15600,242900,1144.714286,3161918,0,235600,1115.0,354422,Fox Searchlight,Comedy,1 hrs. 41 min.,R,8000000.0
152,"Lust, Caution",0.72,0.83,7.6,0,26500,0,219100,1.0,108350,0,383800,16.0,488247,0,737700,56.0,654776,0,708100,95.85714286,611928,0,275600,109.42857140000001,485019,0,239200,89.85714286,344359,0,157800,77.71428571,247934,0,87100,42.42857143,154372,0,17700,34.85714286,98110,0,0,28.71428571,57445,Focus Features,Foreign,2 hrs. 38 min.,NC-17,15000000.0
