Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
40,Beginners,0.84,0.77,7.5,0,89600,0,217200,5.0,210269,0,456100,19.0,343907,0,464400,40.85714286,490919,0,514300,62.42857143,588806,0,566800,92.0,820287,0,460600,125.8571429,654204,0,232200,133.5714286,542136,0,146800,122.7142857,497156,0,61400,109.42857140000001,278363,0,31600,95.0,219608,Focus Features,Drama,1 hrs. 44 min.,R,3200000.0
41,Being Julia,0.76,0.7,7.0,47800,69100,18400,180500,6.0,117916,2500,157800,20.0,188350,9900,174900,39.0,261190,1500,230800,72.0,334877,11400,163500,72.71428571,302014,8200,224800,160.28571430000002,414581,0,76900,140.0,301855,0,68700,95.42857143,167771,0,64300,80.85714286,134319,0,24600,53.28571429,91929,Sony Classics,Period Comedy,1 hrs. 45 min.,R,18000000.0
42,Bella,0.43,0.8,0.0,807800,85800,265400,442300,162.0,1576073,204100,449500,183.28571430000002,1268586,257600,425000,266.4285714,1173481,595800,407600,397.0,1333026,154400,348700,324.42857139999995,854185,17700,188400,387.57142860000005,541923,0,89900,325.85714289999993,352976,0,59900,168.5714286,152248,0,0,40.0,37561,0,0,21.57142857,21681,Roadside Attractions,Drama,1 hrs. 31 min.,PG-13,3300000.0
43,Bill Cunningham New York,0.99,0.92,7.9,0,0,0,0,1.0,64566,0,4500,2.857142857,112904,0,13500,11.42857143,110994,0,10900,16.85714286,143671,0,4000,20.85714286,121361,0,3300,25.0,121526,0,5500,30.71428571,99271,0,1100,29.0,91238,0,3000,23.71428571,74551,0,2700,22.0,13665,Zeitgeist,Documentary,1 hrs. 24 min.,Unrated,
44,Black Swan,0.87,0.86,8.3,197200,283700,904800,618400,19.71428571,2156345,1716800,939600,83.0,4650989,1484400,1203100,995.1428571,13396334,1534800,1080100,1331.857143,14476484,1664900,772000,1400.4285710000001,12138917,2195800,731700,1416.857143,10129849,905200,937000,1982.714286,10618177,683400,688900,2039.857143,6703774,960500,1170200,1924.714286,5633212,251300,1098400,1672.0,3885210,Fox Searchlight,Drama / Thriller,1 hrs. 43 min.,R,13000000.0
45,Blue Valentine,0.88,0.75,7.6,0,267700,0,7500,4.0,97880,22100,509200,4.0,342367,321700,647300,37.57142857,925808,77800,225300,217.8571429,1868071,800,233100,223.71428569999998,1093567,9300,237900,362.85714289999993,1329866,23300,158100,384.7142857,930893,12400,108900,320.2857143,684850,17700,61900,173.0,368741,0,6300,115.8571429,219501,Weinstein Company,Drama,1 hrs. 52 min.,R,1000000.0
46,Boondock Saints II: All Saints Day,0.23,0.61,6.3,291900,0,51800,12300,68.42857143,818516,57800,10100,105.42857140000001,646083,130400,0,242.4285714,1430737,303800,0,240.0,1403613,173500,0,345.57142860000005,1751085,185100,0,389.57142860000005,1273162,49800,0,469.2857143,1160004,0,0,320.2857143,621448,0,0,83.14285714,170749,0,0,87.71428571,163387,Apparition,Action / Crime,1 hrs. 58 min.,R,8000000.0
47,Bottle Shock,0.49,0.61,6.8,117200,116000,165000,716000,45.71428571,372546,283900,577400,82.28571429,430369,452600,519900,227.28571430000002,730043,9100,363800,257.0,730698,24200,230100,313.42857139999995,574530,10900,189600,232.5714286,274980,0,120800,124.57142859999999,134870,700,37300,54.42857143,52994,0,7800,19.0,17023,0,7000,13.0,2996,Freestyle Releasing,Comedy,1 hrs. 43 min.,PG-13,5000000.0
48,Boynton Beach Club,0.6,0.45,6.3,0,2100,0,7100,11.0,108550,0,3900,13.0,90781,0,3100,13.0,66690,0,6100,16.0,57698,0,5100,17.85714286,63919,0,3400,13.85714286,35842,0,3500,11.85714286,43839,0,900,10.0,40655,0,1300,10.0,38589,0,0,8.714285713999999,28442,Wingate Distribution,Romantic Comedy,1 hrs. 45 min.,R,1500000.0
49,Breakfast on Pluto,0.56,0.73,7.2,0,60700,0,84200,3.0,50243,0,128000,3.0,43859,0,104700,4.428571429,41690,2000,51700,5.0,24582,0,172900,3.285714286,15056,0,236900,26.0,76778,0,167700,38.0,136614,0,150400,82.28571429,143812,0,47500,54.71428571,83291,0,2600,36.5,10272,Sony Classics,Comedy / Drama,2 hrs. 15 min.,R,
50,Brick,0.79,0.82,7.5,0,0,0,132700,2.0,118212,0,208100,18.0,235677,0,225000,37.85714286,279331,0,75100,37.0,212731,0,68300,31.85714286,160901,0,32600,32.0,124460,0,14200,27.42857143,115451,0,6100,32.57142857,104547,0,5000,30.14285714,113098,0,4900,29.28571429,82567,Focus Features,Drama / Thriller,1 hrs. 50 min.,R,475000.0
51,Brick Lane,0.65,0.58,6.5,0,33800,0,70400,7.0,69475,0,62600,17.71428571,94186,0,72400,24.0,105495,0,79900,34.0,121323,0,41800,37.14285714,93180,0,22800,38.0,73473,0,19800,26.14285714,51552,0,17000,28.57142857,47114,0,11100,15.0,12996,0,0,9.714285713999999,8074,Sony Classics,Drama,1 hrs. 41 min.,PG-13,
52,Bride and Prejudice,0.64,0.66,6.1,103600,113500,6900,451900,29.85714286,477359,49000,221300,30.14285714,421566,61800,266900,108.7142857,584087,293300,238500,112.2857143,519641,60100,273300,207.71428569999998,730673,99500,208200,188.28571430000002,588179,189100,180200,159.5714286,434605,11000,103800,115.2857143,229065,0,83000,94.42857143,127014,0,25200,84.85714286,95983,Miramax,Romance,1 hrs. 51 min.,PG-13,7000000.0
53,Brideshead Revisited,0.62,0.52,6.7,495300,207900,1382600,562500,30.0,461225,765000,756200,146.4285714,1421905,196800,694900,291.14285710000007,1353632,200,599800,417.85714289999993,963612,0,157000,327.57142860000005,491480,0,54000,172.4285714,275731,0,7100,209.4285714,200162,0,0,80.0,47514,0,0,49.71428571,28464,100,0,23.85714286,8902,Miramax,Period Drama,2 hrs. 13 min.,PG-13,20000000.0
